,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
1782,MISSION RD ,AT,MARENGO ST,AUTO ,CR,July 08 2013,MON,0.0,0.0,14862.0,17036.0,31898.0,"(34.0606356, -118.2144071)"
1783,MISSISSIPPI AV,AT,SAWTELLE BL,AUTO,WR,October 21 2013,MON,789.0,3592.0,0.0,0.0,4381.0,"(34.0395681, -118.4424641)"
1784,MOHAWK ST,AT,SUNSET BL,AUTO,WR,June 20 2011,MON,18113.0,17795.0,,,35908.0,"(34.0774041, -118.2649802)"
1785,MONO ST,AT,ST GEORGE ST,MAN,HW,August 20 2013,TUE,282.0,139.0,0.0,0.0,421.0,"(34.10893009999999, -118.2748732)"
1786,MONON ST,S/O,TRACY ST,AUTO,HW,June 20 2011,MON,18853.0,18183.0,,,37036.0,"(34.1083516, -118.2787391)"
1787,MONTANA ST,AT,GLENDALE BL,MAN,HW,December 12 2013,THU,3382.0,2517.0,0.0,0.0,5899.0,"(34.0798039, -118.2602641)"
1788,MONTEREY RD,AT,HARDISON WAY,AUTO,CR,July 09 2013,TUE,0.0,0.0,3220.0,3198.0,6418.0,"(34.1077822, -118.1826825)"
1789,MONTEREY RD,AT,VIA MARISOL,AUTO,CR,July 09 2013,TUE,0.0,0.0,5886.0,4862.0,10748.0,"(34.0936331, -118.1901991)"
1790,MONTEREY RD,AT,WHEELING WAY,AUTO,CR,July 09 2013,TUE,0.0,0.0,5767.0,6003.0,11770.0,"(34.1038289, -118.1853771)"
1791,MONTEREY RD,AT,WHEELING WAY,AUTO,CR,July 09 2013,TUE,0.0,0.0,5767.0,6003.0,11770.0,"(34.1038289, -118.1853771)"
1792,MONTEREY RD ,AT,PARK DWY,AUTO,CR,July 15 2013,MON,0.0,0.0,5807.0,4724.0,10531.0,"(34.0484101, -118.1604374)"
1793,MONTEREY RD ,AT,KENDALL AV,AUTO,CR,July 15 2013,MON,0.0,0.0,6005.0,5249.0,11254.0,"(34.1012928, -118.1872186)"
1794,MONTEREY RD ,AT,LOMITAS AV,AUTO,CR,July 15 2013,MON,0.0,0.0,7008.0,6543.0,13551.0,"(34.0885635, -118.1876292)"
1795,MOORPARK ST,AT,LANKERSHIM BL,AUTO,HW,June 21 2011,TUE,17392.0,17739.0,,,35131.0,"(34.1503809, -118.3658605)"
1796,MOORPARK ST,AT,VAN NUYS BL,AUTO,HW,June 21 2011,TUE,18649.0,18267.0,,,36916.0,"(34.1519263, -118.4487114)"
1797,MORGAN AV,AT,41 st ST,MAN,CR,March 19 2013,TUE,4427.0,4883.0,0.0,0.0,9310.0,"(34.0083732, -118.245498)"
1798,MORGAN ST ,AT,41 st ST,AUTO,HW,June 21 2011,TUE,17651.0,17224.0,,,34875.0,"(34.0083732, -118.245498)"
1799,MORRISON ST,AT,SEPULVEDA BL,MAN,EV,February 13 2013,WED,308.0,1154.0,0.0,0.0,1462.0,"(34.1602826, -118.4661736)"
1800,MORRISON ST,AT,SEPULVEDA BL,AUTO,HW,June 21 2011,TUE,18321.0,18586.0,,,36907.0,"(34.1602826, -118.4661736)"
1801,MOTOR AV,AT,NATIONAL BL,MAN,WR,May 20 2014,TUE,0.0,0.0,4390.0,2665.0,7055.0,"(34.0292204, -118.4106979)"
1802,MOTOR AV,AT,MANNING AV,AUTO,WR,September 16 2013,MON,0.0,0.0,6721.0,,12836.0,"(34.0337891, -118.410697)"
1803,MOTOR AV,AT,NATIONAL BL,AUTO,WR,September 16 2013,MON,0.0,0.0,6260.0,6920.0,13180.0,"(34.0292204, -118.4106979)"
1804,MOTOR AV,AT,NATIONAL BL,MAN,WR,November 19 2013,TUE,0.0,0.0,8817.0,7052.0,15869.0,"(34.0292204, -118.4106979)"
1805,MOTOR AV,AT,WOODBINE ST,AUTO,CR,December 11 2012,TUE,14076.0,12008.0,,,26084.0,"(34.0277022, -118.409542)"
1806,MULHOLLAND DR,AT,DESMOND ESTATES RD/PYRAMID PL,MAN,EV,April 13 2013,SAT,900.0,726.0,0.0,0.0,1626.0,"(34.11956, -118.3532188)"
1807,MULHOLLAND DR,AT,DESMOND ESTATES RD,MAN,EV,April 04 2013,THU,1320.0,1509.0,0.0,0.0,2829.0,"(34.11956, -118.3532188)"
1808,MULHOLLAND DR,AT,CASIANO RD,MAN,CR,January 16 2013,WED,14756.0,8469.0,0.0,0.0,23225.0,"(34.1289915, -118.4719536)"
1809,MULHOLLAND DR,AT,MULHOLLAND PL,MAN,CR,January 17 2013,THU,21110.0,29678.0,0.0,0.0,50788.0,"(34.1297967, -118.4804603)"
1810,MULLEN AV,AT,DOCKWEILER ST,MAN,HW,June 11 2013,TUE,0.0,0.0,247.0,249.0,496.0,"(34.0507142, -118.3349949)"
1811,MULLEN AV,AT,8 th ST,MAN,HW,August 15 2013,THU,0.0,0.0,378.0,580.0,958.0,"(34.060963, -118.3308015)"
1812,MYERS ST,S/O ,KEARNY ST,MAN,WR,March 22 2012,THU,529.0,228.0,0.0,0.0,757.0,"(34.0498174, -118.2286483)"
1813,MYRA AV,S/O,TRACY ST,AUTO,SR,July 11 2011,MON,402.0,285.0,,,687.0,"(34.1083463, -118.2800379)"
1814,N BROADWAY,AT,ELYSIAN PARK DR,MAN,HW,November 28 2012,WED,0.0,0.0,0.0,1873.0,1873.0,"(34.0717221, -118.2273843)"
1815,N BROADWAY,AT,AVE 20,MAN,HW,December 18 2012,TUE,0.0,0.0,1981.0,1976.0,3957.0,"(34.0726377, -118.2201546)"
1816,N BROADWAY,AT,HANCOCK ST,AUT,CR,April 03 2013,WED,13275.0,14706.0,0.0,0.0,27981.0,"(34.073742, -118.2090945)"
1817,N BROADWAY,AT,HANCOCK ST,AUT,CR,April 04 2013,THU,13625.0,14618.0,0.0,0.0,28243.0,"(34.073742, -118.2090945)"
1818,N BROADWAY,AT,HANCOCK ST,MAN,CR,April 03 2013,WED,18680.0,10295.0,0.0,0.0,28975.0,"(34.073742, -118.2090945)"
1819,N BROADWAY ,AT,HANCOCK ST,AUT,CR,April 02 2013,TUE,13714.0,14875.0,0.0,0.0,28589.0,"(34.073742, -118.2090945)"
1820,N MAIN ST,AT,ARCADIA ST,MAN,CR,December 05 2012,WED,0.0,0.0,6737.0,0.0,6737.0,"(34.0558471, -118.2400901)"
1821,N MAIN ST,AT,ARCADIA ST,MAN,WV,January 13 2011,THU,2785.0,5440.0,,,8225.0,"(34.0558471, -118.2400901)"
1822,N SPRING ST,AT,BAKER ST,MAN,WV,January 14 2011,FRI,3673.0,8627.0,,,12300.0,"(34.0692214, -118.2284012)"
1823,N SPRING ST,S/O,ELMYRA ST,AUTO,CR,September 26 2013,THU,0.0,0.0,8575.0,8831.0,17406.0,"(34.06610879999999, -118.2334767)"
1824,N SPRING ST,S/O,AURORA ST,AUTO,CR,September 26 2013,THU,0.0,0.0,9517.0,9616.0,19133.0,"(34.0699983, -118.226187)"
1825,N SPRING ST,AT,BAKER ST,AUTO,EV,May 25 2011,WED,11598.0,11944.0,,,23542.0,"(34.0692214, -118.2284012)"
1826,N SPRING ST,AT,RONDOUT/ELMYRA STS,AUTO,EV,March 29 2011,TUE,11772.0,12041.0,,,23813.0,"(34.066939, -118.2322398)"
1827,N SPRING ST,AT,ROUNDOUT/ELMYRA,MAN,CR,December 19 2012,WED,0.0,0.0,10326.0,14798.0,25124.0,"(34.066939, -118.2322398)"
1828,N SPRING ST,AT,BAKER ST,MAN,CR,December 20 2012,THU,0.0,0.0,13997.0,11228.0,25225.0,"(34.0692214, -118.2284012)"
1829,N SPRING ST ,AT,ELMYRA ST,MAN,WV,November 02 2011,WED,10446.0,14163.0,,,24609.0,"(34.06610879999999, -118.2334767)"
1830,N VENICE BL RAMPS,AT,GRAND AV,MAN,WR,May 21 2013,TUE,0.0,0.0,2099.0,0.0,2099.0,"(33.9893627, -118.4621186)"
1831,NASH DR,N/O,JEWETT DR,AUTO,EV,December 12 2012,WED,14628.0,15882.0,0.0,0.0,30510.0,"(34.1065295, -118.3761831)"
1832,NATIONAL BL,AT,MOTOR AV,MAN,WR,May 20 2014,TUE,2644.0,2926.0,0.0,0.0,5570.0,"(34.0292204, -118.4106979)"
1833,NATIONAL BL,AT,MOTOR AV,MAN,WR,November 19 2013,TUE,4120.0,7356.0,0.0,0.0,11476.0,"(34.0292204, -118.4106979)"
1834,NATIONAL BL,E/O,MANNING AV,AUTO,SR,June 08 2011,WED,,,6634.0,5544.0,12178.0,"(34.0300203, -118.4028448)"
1835,NATIONAL BL,AT,MOTOR AV,AUTO,WR,September 16 2013,MON,3450.0,9687.0,0.0,0.0,13137.0,"(34.0292204, -118.4106979)"
1836,NEW HAMPSHIRE AV,AT,JAMES M WOOD BL,MAN,HW,June 26 2013,WED,0.0,0.0,263.0,1147.0,1410.0,"(34.0559398, -118.2928971)"
1837,NEW HAMPSHIRE AV,AT,4 th ST,AUTO,SR,June 08 2011,WED,,,10282.0,8419.0,18701.0,"(34.0673679, -118.2929474)"
1838,NOBLE AV ,N/O,VANOWEN ST,AUTO,SR,June 08 2011,WED,,,8448.0,6429.0,14877.0,"(34.1939367, -118.4618388)"
1839,NORDHOFF ST,AT ,RESEDA BL,MAN,EV,April 26 2011,TUE,,,1485.0,790.0,2275.0,"(34.2355032, -118.5361071)"
1840,NORDHOFF ST,AT ,COSTELLO AV,AUTO,EV,March 23 2011,WED,,,1844.0,828.0,2672.0,"(34.235365, -118.4419374)"
1841,NORDHOFF ST,AT,VAN NUYS BL,AUTO,SR,September 27 2011,TUE,,,8113.0,5458.0,13571.0,"(34.2354186, -118.4502667)"
1842,NORDHOFF ST,W/O,OSBORNE ST,AUTO,WV,January 06 2014,MON,7376.0,7422.0,0.0,0.0,14798.0,"(34.2352526, -118.4354671)"
1843,NORDHOFF ST,AT,VAN NUYS BL,MAN,SR,November 14 2012,WED,0.0,0.0,11437.0,8815.0,20252.0,"(34.2354186, -118.4502667)"
1844,NORDHOFF ST,AT,KESTER AV,AUTO,WV,January 06 2014,MON,16071.0,11568.0,0.0,0.0,27639.0,"(34.2354681, -118.456951)"
1845,NORDHOFF ST,AT ,RESEDA BL,MAN,SR,December 06 2011,TUE,24294.0,32985.0,,,57279.0,"(34.2355032, -118.5361071)"
1846,NORDHOFF WY,AT,TAMPA AV,AUTO,WR,June 13 2011,MON,,,5250.0,5493.0,10743.0,"(34.2355002, -118.5535801)"
1847,NORDHOFF WY,AT,MIKUNI AV,AUTO,WR,June 13 2011,MON,,,6145.0,5377.0,11522.0,"(34.2319995, -118.5611024)"
1848,NORMANDIE AV,AT,48 th ST,MAN,CR,October 19 2011,WED,,,291.0,,291.0,"(33.9996309, -118.3002017)"
1849,NORMANDIE AV,AT ,ADAMS BL,AUTO,SR,September 27 2011,TUE,,,492.0,473.0,965.0,"(34.0327341, -118.3002745)"
1850,NORMANDIE AV,AT,35 th ST,AUTO,CR,January 06 2011,THU,,,514.0,489.0,1003.0,"(34.0246082, -118.3002755)"
1851,NORMANDIE AV,AT,43 rd ST,AUTO,SR,July 11 2011,MON,,,801.0,401.0,1202.0,"(34.00551859999999, -118.3002007)"
1852,NORMANDIE AV,AT,WASHINGTON BL,AUTO,SR,December 14 2011,WED,,,757.0,990.0,1747.0,"(34.039972, -118.3008202)"
1853,NORMANDIE AV,AT,29 th ST,AUTO,WR,June 13 2011,MON,,,789.0,1303.0,2092.0,"(34.0291318, -118.3002536)"
1854,NORMANDIE AV,AT ,54 th ST,AUTO,WR,August 14 2011,SUN,,2185.0,,,2185.0,"(33.9932377, -118.3002112)"
1855,NORMANDIE AV,AT,51 st ST,AUTO,WR,August 13 2011,SAT,,2450.0,,,2450.0,"(33.9968827, -118.3001841)"
1856,NORMANDIE AV,AT,MARTIN LUTHER KING JR BL,AUTO,WR,August 12 2011,FRI,,3541.0,,,3541.0,"(34.0108578, -118.3001981)"
1857,NORMANDIE AV,AT,39 th ST,AUTO,EV,April 26 2011,TUE,3347.0,1869.0,,,5216.0,"(34.01552, -118.3001895)"
1858,NORMANDIE AV,AT,37 th PL,AUTO,SR,January 06 2011,THU,3939.0,2713.0,,,6652.0,"(34.0199761, -118.3002008)"
1859,NORMANDIE AV,AT,56 th ST,AUTO,WR,June 13 2011,MON,,,4959.0,4465.0,9424.0,"(33.99156990000001, -118.3002147)"
1860,NORMANDIE AV,AT,257 th ST,AUTO,SR,January 08 2014,WED,0.0,0.0,6625.0,6754.0,13379.0,"(33.7909367, -118.2975085)"
1861,NORMANDIE AV,AT,EXPOSITION BL,AUTO,EV,April 14 2011,THU,10235.0,8625.0,,,18860.0,"(34.0183836, -118.300188)"
1862,NORMANDIE AV,AT,91 st ST,AUTO,SR,April 15 2014,TUE,0.0,0.0,10137.0,9045.0,19182.0,"(33.9543101, -118.3002808)"
1863,NORMANDIE AV,AT,42 nd PL,MAN,CR,September 24 2013,TUE,0.0,0.0,13985.0,11273.0,25258.0,"(34.0060616, -118.300203)"
1864,NORMANDIE AV,AT,81 st ST,AUTO,HW,August 29 2011,MON,11728.0,13566.0,,,25294.0,"(33.96549359999999, -118.3002666)"
1865,NORMANDIE AV,AT,42 nd PL,AUTO,CR,September 18 2013,WED,0.0,0.0,13486.0,12362.0,25848.0,"(34.0060616, -118.300203)"
1866,NORMANDIE AV,AT,58 th PL,AUTO,HW,August 29 2011,MON,13264.0,12956.0,,,26220.0,"(33.9883562, -118.300219)"
1867,NORMANDIE AV,AT,SLAUSON AV,AUTO,HW,August 30 2011,TUE,12712.0,13642.0,,,26354.0,"(33.9891267, -118.3002151)"
1868,NORMANDIE AV,AT,77 th ST,AUTO,HW,August 29 2011,MON,12816.0,13653.0,,,26469.0,"(33.9702035, -118.3003223)"
1869,NORMANDIE AV,AT,53 rd ST,AUTO,SR,March 27 2014,THU,0.0,0.0,13470.0,13215.0,26685.0,"(33.9941452, -118.3002023)"
1870,NORMANDIE AV,AT,24 th ST,AUTO,HW,August 30 2011,TUE,12908.0,13988.0,,,26896.0,"(34.0345362, -118.3002847)"
1871,NORMANDIE AV,AT,90 th ST,MAN,HW,February 03 2011,THU,14326.0,12906.0,,,27232.0,"(33.9559139, -118.3002751)"
1872,NORMANDIE AV,AT,VENICE BL,AUTO,HW,August 30 2011,TUE,12446.0,15077.0,,,27523.0,"(34.0437109, -118.3008341)"
1873,NORMANDIE AV,AT,94 th PL,AUTO,HW,August 29 2011,MON,13899.0,13884.0,,,27783.0,"(33.9503637, -118.3002836)"
1874,NORMANDIE AV,AT,55 th ST,MAN,HW,February 01 2011,TUE,13954.0,15910.0,,,29864.0,"(33.9923391, -118.3002115)"
1875,NORMANDIE AV,AT,24 th ST,MAN,SR,January 17 2013,THU,0.0,0.0,18957.0,14255.0,33212.0,"(34.0345362, -118.3002847)"
1876,NORMANDIE AV ,AT,FLORENCE AV,AUTO,HW,August 31 2011,WED,7958.0,13714.0,,,21672.0,"(33.974582, -118.3003101)"
1877,NORMANDIE AV ,AT,67 th ST,AUTO,HW,August 30 2011,TUE,12518.0,14120.0,,,26638.0,"(33.9785145, -118.300295)"
1878,NORRIS AV,AT,VAN NUYS BL,AUTO,HW,August 31 2011,WED,12721.0,13421.0,,,26142.0,"(34.2703961, -118.4162342)"
1879,NORTH BROADWAY,AT,SICHEL ST,AUTO,HW,August 31 2011,WED,15822.0,13761.0,,,29583.0,"(34.0736817, -118.2131008)"
1880,NORTON AV,AT,6 th ST,MAN,HW,October 03 2012,WED,0.0,0.0,1363.0,595.0,1958.0,"(34.0634763, -118.3165954)"
1881,NORTON AV,AT,4 th ST,AUTO,HW,September 01 2011,THU,13028.0,12598.0,,,25626.0,"(34.040022, -118.326451)"
1882,OCCIDENTAL BL ,AT,TEMPLE ST,AUTO,HW,March 20 2014,THU,0.0,0.0,1266.0,324.0,1590.0,"(34.073689, -118.2775419)"
1883,OCEAN AV,AT,MABERY RD,AUTO,WR,May 24 2014,SAT,0.0,0.0,4101.0,2088.0,6189.0,"(34.0293904, -118.513824)"
1884,OCEAN AV,AT,MABERY RD,AUTO,WR,May 25 2014,SUN,0.0,0.0,4569.0,2261.0,6830.0,"(34.0293904, -118.513824)"
1885,OCEAN AV,AT,MABERY RD,AUTO,WR,May 26 2014,MON,0.0,0.0,4488.0,2418.0,6906.0,"(34.0293904, -118.513824)"
1886,OCEAN AV,AT,MABERY RD,AUTO,WR,May 22 2014,THU,0.0,0.0,4961.0,2816.0,7777.0,"(34.0293904, -118.513824)"
1887,OCEAN AV,AT,MABERY RD,AUTO,WR,May 23 2014,FRI,0.0,0.0,5908.0,2792.0,8700.0,"(34.0293904, -118.513824)"
1888,O'FARRELL ST,AT,PACIFIC AV,MAN,SR,November 14 2012,WED,1250.0,954.0,0.0,0.0,2204.0,"(33.7433514, -118.2882614)"
1889,O'FARRELL ST,AT,PACIFIC AV,AUTO,HW,September 01 2011,THU,13152.0,12996.0,,,26148.0,"(33.7433514, -118.2882614)"
1890,OGDEN DR,AT,PACKARD ST,AUTO,HW,October 08 2013,TUE,0.0,0.0,222.0,395.0,617.0,"(34.0529551, -118.3637579)"
1891,OGDEN DR,AT,8 th ST,AUTO,HW,July 09 2013,TUE,0.0,0.0,278.0,909.0,1187.0,"(34.0608342, -118.3603327)"
1892,OGDEN DR,S/O,3 rd ST,AUTO,HW,September 06 2011,TUE,10082.0,11232.0,,,21314.0,"(34.0711965, -118.35905)"
1893,OGDEN DR,S/O,3 rd ST,AUTO,HW,September 06 2011,TUE,11289.0,11352.0,,,22641.0,"(34.0711965, -118.35905)"
1894,OGDEN DR,S/O,3 rd ST,AUTO,HW,September 06 2011,TUE,11828.0,11166.0,,,22994.0,"(34.0711965, -118.35905)"
1895,OGDEN DR,S/O,3 rd ST,AUTO,HW,September 01 2011,THU,13164.0,13193.0,,,26357.0,"(34.0711965, -118.35905)"
1896,OGDEN DR ,AT,PACKARD ST,MAN,HW,January 07 2014,TUE,0.0,0.0,148.0,289.0,437.0,"(34.0529551, -118.3637579)"
1897,OLIVE DR ,E/O,HILLSBORO,AUTO,EV,May 15 2014,THU,5169.0,4996.0,0.0,0.0,10165.0,"(34.041581, -118.387762)"
1898,OLMSTED AV,AT,COLISEUM ST,AUTO,HW,April 21 2014,MON,0.0,0.0,394.0,285.0,679.0,"(34.0182582, -118.3281076)"
1899,OLYMPIC BL,AT,SOTO ST,MAN,WV,November 02 2011,WED,,,726.0,813.0,1539.0,"(34.0242873, -118.2198569)"
1900,OLYMPIC BL,AT,MUIRFIELD AV,AUTO,SR,November 08 2011,TUE,,,6965.0,,6965.0,"(34.0562411, -118.3313841)"
1901,OLYMPIC BL,AT,CAMULOS ST,AUTO,WV,February 08 2011,TUE,5886.0,7346.0,,,13232.0,"(34.022464, -118.215642)"
1902,OLYMPIC BL,AT,GRAND VIEW ST,AUTO,WV,February 08 2011,TUE,6598.0,8665.0,,,15263.0,"(34.0522494, -118.2823082)"
1903,OLYMPIC BL,AT,DUNSMUIR AV,AUTO,HW,September 13 2011,TUE,7680.0,8958.0,,,16638.0,"(34.0573254, -118.3502578)"
1904,OLYMPIC BL,AT,SOTO ST,AUTO,HW,September 07 2011,WED,6942.0,10826.0,,,17768.0,"(34.0242873, -118.2198569)"
1905,OLYMPIC BL,AT,UNION AV,AUTO,HW,September 08 2011,THU,10209.0,10316.0,,,20525.0,"(34.0492004, -118.2741978)"
1906,OLYMPIC BL,AT,VERMONT AV,AUTO,HW,September 08 2011,THU,11010.0,10192.0,,,21202.0,"(34.0525384, -118.2916242)"
1907,OLYMPIC BL,AT,HUDSON AV,AUTO,HW,September 13 2011,TUE,13048.0,8364.0,,,21412.0,"(34.0569812, -118.3349673)"
1908,OLYMPIC BL,AT,SPAULDING AV,AUTO,HW,September 13 2011,TUE,12815.0,8895.0,,,21710.0,"(34.0575366, -118.3598579)"
1909,OLYMPIC BL,AT,CRENSHAW BL,AUTO,HW,September 07 2011,WED,9949.0,12076.0,,,22025.0,"(34.0546536, -118.3229963)"
1910,OLYMPIC BL,AT,WESTCHESTER PL,AUTO,HW,September 07 2011,WED,10054.0,12233.0,,,22287.0,"(34.0524989, -118.3165181)"
1911,OLYMPIC BL,AT,5 th AV,AUTO,HW,September 07 2011,WED,10277.0,12063.0,,,22340.0,"(34.0534227, -118.319615)"
1912,OLYMPIC BL,AT,LONGWOOD AV,AUTO,HW,September 13 2011,TUE,15105.0,8587.0,,,23692.0,"(34.0570467, -118.3384103)"
1913,OLYMPIC BL,AT,HI POINT ST,AUTO,HW,September 12 2011,MON,13049.0,10888.0,,,23937.0,"(34.0584361, -118.3659899)"
1914,OLYMPIC BL,AT,ALVARADO ST,AUTO,HW,September 08 2011,THU,12980.0,11118.0,,,24098.0,"(34.0517274, -118.2798705)"
1915,OLYMPIC BL,AT,BEDFORD ST,AUTO,HW,September 12 2011,MON,16492.0,14489.0,,,30981.0,"(34.0593828, -118.3803629)"
1916,OLYMPIC BL,AT,KENISTON AV,MAN,HW,October 15 2013,TUE,18673.0,16464.0,0.0,0.0,35137.0,"(34.0569958, -118.3361466)"
1917,OLYMPIC BL,AT,GRAND VIEW ST,MAN,HW,January 17 2013,THU,21110.0,29678.0,0.0,0.0,50788.0,"(34.0522494, -118.2823082)"
1918,OLYMPIC BL  ,AT,CAMULOS ST,MAN,CR,January 16 2013,WED,14756.0,8469.0,0.0,0.0,23225.0,"(34.022464, -118.215642)"
1919,OLYMPIC BL E/B RAMPS FOX PLAZA,AT,AVE OF THE STARS,AUTO,EV,April 06 2011,WED,5680.0,9590.0,,,15270.0,"(34.0551746, -118.4132525)"
1920,OLYMPIC BL E/B RAMPS/FOX PLAZA,AT,AVE OF THE STARS,MAN,WR,March 22 2012,THU,529.0,228.0,0.0,0.0,757.0,"(34.0551746, -118.4132525)"
1921,OPP ST,AT,MAHAR AV,MAN,EV,May 19 2011,THU,8152.0,10716.0,,,18868.0,"(33.7837642, -118.246278)"
1922,ORANGE BL,AT,SUNSET BL,MAN,HW,December 18 2012,TUE,0.0,0.0,1981.0,1976.0,3957.0,"(34.0978198, -118.3637421)"
1923,ORANGE DR ,AT,SUNSET BL,AUTO,WV,July 14 2011,THU,5719.0,7812.0,,,13531.0,"(34.0979765, -118.3413902)"
1924,ORANGE DR (E INTER),AT,HOLLYWOOD BL,MAN,HW,November 29 2012,THU,0.0,0.0,2195.0,0.0,2195.0,"(34.1006566, -118.3410549)"
1925,ORANGE DR (EAST INTERSECTION),AT,HOLLYWOOD BL,AUTO,WV,July 14 2011,THU,2884.0,3749.0,,,6633.0,"(34.1006566, -118.3410549)"
1926,ORANGE DR (W INTER),AT,HOLLYWOOD BL,MAN,HW,November 28 2012,WED,0.0,0.0,0.0,1873.0,1873.0,"(34.1006566, -118.3410549)"
1927,ORANGE DR (WEST INTERSECTION),AT,HOLLYWOOD BL,MAN,WV,August 09 2011,TUE,1354.0,1231.0,,,2585.0,"(34.1006566, -118.3410549)"
1928,ORION AV,AT,PLUMMER ST,AUT,EV,April 22 2013,MON,0.0,0.0,1065.0,382.0,1447.0,"(34.2428204, -118.4719033)"
1929,OSBORNE ST JOG NEAR TERRA BELLA,S/O,FOOTHILL BL,AUT,EV,April 09 2013,TUE,0.0,0.0,10012.0,8410.0,18422.0,"(34.2749156, -118.3955467)"
1930,OUTPOST DR,N/O,MALAGA RD,AUTO,HW,September 25 2013,WED,0.0,0.0,2528.0,2394.0,4922.0,"(34.1128411, -118.3445338)"
1931,OUTPOST DR,S/O,MALAGA RD,AUTO,HW,September 25 2013,WED,0.0,0.0,2419.0,2572.0,4991.0,"(34.1128411, -118.3445338)"
1932,OUTPOST DR,AT,MALAGA RD,MAN,HW,December 17 2013,TUE,0.0,0.0,2731.0,2637.0,5368.0,"(34.1128411, -118.3445338)"
1933,OUTPOST DR,N/O,MALAGA RD,AUTO,HW,September 24 2013,TUE,0.0,0.0,2801.0,3108.0,5909.0,"(34.1128411, -118.3445338)"
1934,OXFORD AV,AT,11 th ST,MAN,HW,January 14 2014,TUE,0.0,0.0,411.0,1337.0,1748.0,"(34.0508411, -118.3074338)"
1935,OXFORD AV,AT,11 th ST,AUTO,HW,November 25 2013,MON,0.0,0.0,552.0,1770.0,2322.0,"(34.0508411, -118.3074338)"
1936,OXFORD AV,AT,11 th ST,AUTO,HW,February 22 2014,SAT,0.0,0.0,579.0,2096.0,2675.0,"(34.0508411, -118.3074338)"
1937,OXFORD AV,AT,2 nd ST,AUTO,HW,November 07 2013,THU,0.0,0.0,4040.0,4194.0,8234.0,"(34.070945, -118.309082)"
1938,OXNARD ST,AT,LANKERSHIM BL,AUTO,WR,January 24 2011,MON,,,204.0,184.0,388.0,"(34.1794094, -118.383416)"
1939,OXNARD ST,AT,VAN NUYS BL,AUTO,EV,July 27 2011,WED,,,971.0,979.0,1950.0,"(34.1794021, -118.4487945)"
1940,OXNARD ST,AT,PLATT AV,AUTO,EV,April 12 2011,TUE,1975.0,3588.0,,,5563.0,"(34.1792388, -118.6430317)"
1941,OXNARD ST,W/O,CAHUENGA BL,AUTO,EV,February 24 2014,MON,4097.0,4456.0,0.0,0.0,8553.0,"(34.179443, -118.3615919)"
1942,OXNARD ST,AT,LINDLEY AV,AUTO,WV,August 29 2011,MON,5961.0,3243.0,,,9204.0,"(34.1802058, -118.527314)"
1943,OXNARD ST,AT,VARIEL AV,MAN,WV,March 19 2014,WED,5407.0,5856.0,0.0,0.0,11263.0,"(34.1792637, -118.5927971)"
1944,OXNARD ST,E/O,TUJUNGA AV,AUTO,EV,February 25 2014,TUE,7965.0,7028.0,0.0,0.0,14993.0,"(34.17943, -118.3790565)"
1945,OXNARD ST,W/O,VINELAND AV,AUTO,EV,February 24 2014,MON,7293.0,9344.0,0.0,0.0,15637.0,"(34.1794247, -118.3703183)"
1946,OXNARD ST,E/O,SEPULVEDA BL,AUTO,EV,March 06 2014,THU,11407.0,9425.0,0.0,0.0,20832.0,"(34.1793903, -118.4661955)"
1947,OXNARD ST,E/O,KESTER AV,AUTO,EV,March 06 2014,THU,12058.0,12056.0,0.0,0.0,21114.0,"(34.1793941, -118.457471)"
1948,OXNARD ST,E/O,TYRONE AV,AUTO,EV,March 05 2014,WED,12601.0,11717.0,0.0,0.0,24318.0,"(34.1794055, -118.4443636)"
1949,OXNARD ST,W/O,VAN NUYS BL,AUTO,EV,March 05 2014,WED,12960.0,12281.0,0.0,0.0,25241.0,"(34.1794021, -118.4487945)"
1950,OXNARD ST,E/O,HAZELTINE AV,AUTO,EV,March 05 2014,WED,12921.0,12441.0,0.0,0.0,25362.0,"(34.179405, -118.4400019)"
1951,OXNARD ST,W/O,COLFAX AV,AUTO,EV,February 24 2014,MON,12671.0,12864.0,0.0,0.0,25535.0,"(34.1794111, -118.3878036)"
1952,OXNARD ST,W/O,WOODMAN AV,AUTO,EV,March 04 2014,TUE,13914.0,11885.0,0.0,0.0,25799.0,"(34.1794062, -118.4312615)"
1953,OXNARD ST,W/O,FULTON AV,AUTO,EV,March 04 2014,TUE,13052.0,12757.0,0.0,0.0,25809.0,"(34.1794091, -118.422546)"
1954,OXNARD ST,W/O,LANKERSHIM BL,AUTO,EV,February 25 2014,TUE,12753.0,14223.0,0.0,0.0,26976.0,"(34.1794094, -118.383416)"
1955,OXNARD ST,E/O,COLDWATER CANYON AV,AUTO,EV,March 03 2014,MON,14294.0,14815.0,0.0,0.0,29109.0,"(34.1794178, -118.4137992)"
1956,OXNARD ST,E/O,WHITTSETT AV,AUTO,EV,March 03 2014,MON,15680.0,15583.0,0.0,0.0,31263.0,"(34.1794192, -118.4052696)"
1957,OXNARD ST,E/O,ETHEL ST,AUTO,EV,March 04 2014,TUE,15395.0,15956.0,0.0,0.0,31351.0,"(34.1793989, -118.4181522)"
