,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
42,11th AV,AT,71st ST,AUTO,SR,May 19 2014,MON,0.0,0.0,1156.0,714.0,1870.0,"(33.9756785, -118.3294154)"
43,12 th ST,AT,CLOVERDALE AV,MAN,HW,June 13 2013,THU,263.0,357.0,0.0,0.0,620.0,"(34.0535246, -118.3494429)"
44,12 th ST,AT,ALMA ST,AUTO,SR,June 17 2013,MON,453.0,268.0,0.0,0.0,721.0,"(33.7333666, -118.2989896)"
45,12 th ST,AT,LONGWOOD AV,MAN,CR,April 19 2011,TUE,442.0,374.0,,,816.0,"(34.0532495, -118.3402275)"
46,13 th ST,AT,PACIFIC AV,MAN,SR,October 25 2012,THU,1347.0,2470.0,0.0,0.0,3817.0,"(33.7324194, -118.2879533)"
47,130 th ST,AT,FIGUEROA ST,MAN,SR,July 09 2013,TUE,378.0,505.0,0.0,0.0,883.0,"(33.9143679, -118.2827345)"
48,134 FWY OFF RAMP,AT,COLORADO BL,AUTO,CR,July 10 2013,WED,6305.0,0.0,0.0,0.0,6305.0,"(34.1568125, -118.4124379)"
49,14 th ST,AT,UNION AV,MAN,CR,January 07 2013,MON,240.0,263.0,0.0,0.0,503.0,"(34.0430231, -118.2779368)"
50,14 th ST,AT,PALOS VERDES ST,AUTO,SR,June 09 2011,THU,494.0,267.0,,,761.0,"(33.7314874, -118.2814111)"
51,14 th ST,AT,UNION ST,AUTO,CR,November 02 2011,WED,,,468.0,1106.0,1574.0,"(34.04306100000001, -118.2779135)"
52,15 th ST,E/O,LE GRANDE TER,AUTO,SR,June 13 2013,THU,71.0,76.0,0.0,0.0,147.0,"(33.7306722, -118.3077472)"
53,157 th ST,AT,VERMONT AV,AUTO,SR,April 09 2014,WED,1277.0,1792.0,0.0,0.0,3069.0,"(33.8888493, -118.2915518)"
54,168 th ST,AT,FIGUEROA ST,MAN,SR,June 18 2013,TUE,714.0,1191.0,0.0,0.0,1905.0,"(33.8794237, -118.2824968)"
55,168 th ST,AT,FIGUEROA ST,AUT,SR,April 04 2013,THU,826.0,1774.0,0.0,0.0,2600.0,"(33.8794237, -118.2824968)"
56,17 th ST,AT,WEST BL,MAN,HW,October 03 2013,THU,0.0,259.0,0.0,0.0,259.0,"(34.0434199, -118.3358327)"
57,17 th ST,AT,4 th AV,AUTO,HW,September 10 2013,TUE,821.0,335.0,0.0,0.0,1156.0,"(34.0418214, -118.3212928)"
58,17 th ST,AT,4 th AV,MAN,HW,September 26 2013,THU,827.0,383.0,0.0,0.0,1210.0,"(34.0418214, -118.3212928)"
59,17 th ST,AT,3 rd AV,AUTO,HW,March 04 2014,TUE,954.0,432.0,0.0,0.0,1386.0,"(34.0418302, -118.3201096)"
60,17 th ST,AT,PACIFIC AV,MAN,SR,November 01 2012,THU,1276.0,1755.0,0.0,0.0,3031.0,"(33.72878900000001, -118.2879766)"
61,17th ST,AT,RIMPAU BL,AUTO,HW,May 20 2014,TUE,688.0,402.0,0.0,0.0,1090.0,"(34.0448816, -118.3411629)"
